State,total population,male,female,under_5yrs,5to9_yrs,10to14_yrs,15to19_yrs,60to64_yrs,65to74_yrs,75to84_yrs,85andover,median_age,18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,Year
Alabama,4747424,2302958,2444466,303661,309698,318525,342300,269195,362130,210022,75182,37.7,3615219,3307557,1244112,26399,52668,4747424,2161247,2011
Alaska,700703,363548,337155,52380,49409,51467,53532,32938,33611,14829,4241,33.8,514606,472504,23426,97628,35912,700703,304373,2011
Arizona,6337373,3152339,3185034,461855,444053,446301,456092,338767,481716,280469,99277,35.7,4714129,4987541,252127,280986,172290,6337373,2816719,2011
Arkansas,2895928,1421287,1474641,196325,196223,195740,204445,163803,228866,134431,50247,37.3,2187717,2271277,449283,17239,34815,2895928,1309888,2011
California,36969200,18387718,18581482,2545224,2487950,2592194,2803559,1763109,2213259,1373016,581558,35.1,27665682,22860341,2252129,287712,4825271,36969200,13631129,2011
Colorado,4966061,2489370,2476691,342006,343819,325169,340524,258220,298146,168372,68358,35.9,3753521,4167044,195640,48201,134228,4966061,2197823,2011
Connecticut,3558172,1731389,1826783,203168,223780,240292,253713,199336,247999,167579,83896,39.8,2737968,2796198,347941,8104,134108,3558172,1482798,2011
Delaware,890856,432225,458631,55999,56450,56330,63994,52320,70447,40291,15813,38.6,685401,630804,188519,3109,28726,890856,403095,2011
District of Columbia,593955,280675,313280,33348,26281,25874,42274,29568,36086,21626,10177,34.1,490932,231122,308516,1779,20773,593955,295510,2011
Florida,18688787,9138819,9549968,1079187,1076647,1126827,1228375,1105089,1682030,1095375,429048,40.5,14682954,14270053,2946899,58192,455403,18688787,8944635,2011
Georgia,9600612,4691368,4909244,688777,691275,679130,713635,477084,586313,307988,111808,35.2,7121933,5849795,2922448,23979,308677,9600612,4063024,2011
Hawaii,1346554,674569,671985,87406,80235,82458,85776,80630,97220,64808,28998,38.4,1044429,335908,21628,3198,524274,1346554,516394,2011
Idaho,1549987,776969,773018,120039,118177,116118,115767,80462,105546,60086,23971,34.5,1126153,1431372,8823,19584,18714,1549987,661851,2011
Illinois,12790182,6272579,6517603,839616,860232,879233,927161,643992,832339,529061,230976,36.4,9654603,9214977,1859608,25216,583302,12790182,5285389,2011
Indiana,6454254,3175252,3279002,433281,443985,449251,476532,337346,441483,278185,110124,36.8,4848923,5482893,576304,14772,99194,6454254,2788797,2011
Iowa,3032266,1498400,1533866,198900,199227,200614,220378,163004,221311,156349,72658,38,2307562,2782349,85714,9958,52881,3032266,1332487,2011
Kansas,2830985,1403192,1427793,201206,199217,197936,205155,143796,186020,127080,58944,36.1,2112400,2412703,163063,23860,67532,2830985,1228959,2011
Kentucky,4316040,2120101,2195939,279529,281823,284161,298209,242390,318968,181569,70319,37.8,3294652,3808381,336628,8913,47754,4316040,1921067,2011
Louisiana,4484596,2193423,2291173,310282,303947,305703,327378,238308,304550,178260,65456,35.9,3372863,2838981,1429820,28154,69355,4484596,1944234,2011
Maine,1328543,650339,678204,69386,74509,80611,89908,87633,109637,70478,27614,42.4,1050956,1268113,13979,7124,13745,1328543,718914,2011
Maryland,5736545,2774785,2961760,365155,363690,381567,409125,307894,375564,225620,93434,37.8,4380821,3397326,1683842,16603,312883,5736545,2369168,2011
Massachusetts,6512227,3150111,3362116,367252,387940,404920,469473,358420,444304,305995,141004,38.9,5089065,5294754,431907,12238,345422,6512227,2799357,2011
Michigan,9920621,4867629,5052992,603820,644069,686008,748083,549731,706262,450998,184262,38.5,7542469,7869573,1395245,54638,244623,9920621,4532215,2011
Minnesota,5278190,2620590,2657600,353120,348782,355702,372303,270638,344943,225635,101918,37.3,3997594,4556910,264751,57271,208315,5278190,2339293,2011
Mississippi,2956700,1434572,1522128,209804,206766,209382,224628,156134,210376,120923,43892,35.9,2199741,1767875,1094596,13775,25807,2956700,1266417,2011
Missouri,5955802,2915275,3040527,386915,386557,398625,427986,327409,439907,273041,113191,37.7,4532155,4957147,686044,22509,93632,5955802,2702890,2011
Montana,982854,492668,490186,60700,60739,61784,69056,60393,77754,46950,18852,39.8,759645,881905,4403,61399,5999,982854,478030,2011
Nebraska,1813061,898314,914747,129958,125509,123210,131078,92966,120959,85317,37722,36.3,1357819,1600661,79828,15858,30637,1813061,793243,2011
Nevada,2673396,1350934,1322462,188966,184528,177733,179065,149079,191157,94495,29891,36.1,2011277,1960913,214360,29344,190079,2673396,1160680,2011
New Hampshire,1315911,649547,666364,70938,78504,85606,95473,79182,94294,57362,23512,40.7,1025011,1241530,14520,2688,27702,1315911,611916,2011
New Jersey,8753064,4261485,4491579,543370,565713,586052,599685,467507,599425,401253,171831,38.7,6684371,6095247,1180649,20490,714890,8753064,3543967,2011
