State,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Year
Alabama,3748844,2259707,1489137,346118,337259,152113,287034,2011
Alaska,536544,384749,151795,60499,86065,27814,13411,2011
Arizona,4895581,3027149,1868432,531613,419605,220465,208723,2011
Arkansas,2267563,1373224,894339,223178,205340,88500,179702,2011
California,28796402,18618649,10177753,2927402,2438873,1087881,1694975,2011
Colorado,3888310,2710732,1177578,398352,357073,206174,178042,2011
Connecticut,2839677,1937088,902589,238934,237375,107614,201999,2011
Delaware,709757,459204,250553,64219,60799,30416,40298,2011
District of Columbia,502503,337523,164980,36935,81129,9022,3808,2011
Florida,15169949,9264920,5905029,1237808,1101319,638036,466379,2011
Georgia,7402545,4813601,2588944,789317,678808,318753,466714,2011
Hawaii,1079024,717929,361095,98160,130381,50025,20821,2011
Idaho,1172324,763598,408726,140671,112599,57123,70849,2011
Illinois,10029404,6688329,3341075,974160,782212,343232,775663,2011
Indiana,5035313,3283673,1751640,498049,352058,183340,554161,2011
Iowa,2392818,1647363,745455,232037,216878,96548,229209,2011
Kansas,2192495,1506400,686095,232164,231215,88172,182739,2011
Kentucky,3412180,2065869,1346311,316791,287677,120766,259242,2011
Louisiana,3503250,2163213,1340037,354180,329077,170534,162869,2011
Maine,1086610,707618,378992,80714,92913,47681,64953,2011
Maryland,4547457,3166018,1381439,422297,653338,212851,151419,2011
Massachusetts,5267692,3573919,1693773,432719,427679,184867,317534,2011
Michigan,7840553,4913677,2926876,703325,523790,214781,743025,2011
Minnesota,4147665,2939455,1208210,411709,335532,160249,379567,2011
Mississippi,2287478,1358958,928520,236528,232498,92066,158318,2011
Missouri,4700400,3056406,1643994,445194,374561,187492,328969,2011
Montana,786732,513196,273536,70976,86909,40498,23083,2011
Nebraska,1409203,1001009,408194,150366,134120,60891,100964,2011
Nevada,2086005,1401953,684052,218284,156866,102463,52734,2011
New Hampshire,1063324,743342,319982,83648,95988,50944,89286,2011
New Jersey,6935191,4633565,2301626,639707,615074,249241,388520,2011
New Mexico,1581130,974512,606618,165649,199317,71046,46087,2011
New York,15494360,9881672,5612688,1338581,1514208,524793,638955,2011
North Carolina,7411079,4784984,2626095,721759,649649,327420,555549,2011
North Dakota,536039,376826,159213,49970,60807,25235,26441,2011
Ohio,9110226,5883960,3226266,837527,694336,290224,834161,2011
Oklahoma,2897182,1823779,1073403,297778,290982,123766,169120,2011
Oregon,3039160,1947759,1091401,271803,252078,113378,201509,2011
Pennsylvania,10209810,6456527,3753283,849875,693343,360192,760154,2011
Rhode Island,855960,567760,288200,68327,68266,27797,60363,2011
South Carolina,3624311,2262934,1361377,340297,321629,153713,275557,2011
South Dakota,630184,438039,192145,65695,67296,26131,41335,2011
Tennessee,4978954,3122238,1856716,465033,402743,196804,375751,2011
Texas,18747892,12285284,6462608,2218192,1659622,942485,1088831,2011
Utah,1948759,1345620,603139,301728,199872,93672,134568,2011
Vermont,511749,351086,160663,37005,48559,25129,34853,2011
Virginia,6295555,4231576,2063979,586687,793717,274462,302036,2011
Washington,5269197,3474595,1794602,499772,519504,220452,330083,2011
West Virginia,1504751,826469,678282,118697,145645,54241,66040,2011
Wisconsin,4487568,3084116,1403452,416079,357991,165937,530612,2011
Wyoming,436090,304922,131168,45243,59112,25021,14292,2011
