State,unemprate,Year
Alabama,6.1,2015
Alaska,6.5,2015
Arizona,6.1,2015
Arkansas,5.0,2015
California,6.2,2015
Colorado,3.9,2015
Connecticut,5.7,2015
Delaware,4.9,2015
District of Columbia,6.9,2015
Florida,5.5,2015
Georgia,6.0,2015
Hawaii,3.6,2015
Idaho,4.1,2015
Illinois,6.0,2015
Indiana,4.8,2015
Iowa,3.8,2015
Kansas,4.2,2015
Kentucky,5.3,2015
Louisiana,6.3,2015
Maine,4.4,2015
Maryland,5.1,2015
Massachusetts,4.8,2015
Michigan,5.4,2015
Minnesota,3.7,2015
Mississippi,6.4,2015
Missouri,5.0,2015
Montana,4.2,2015
Nebraska,3.0,2015
Nevada,6.7,2015
New Hampshire,3.4,2015
New Jersey,5.8,2015
New Mexico,6.5,2015
New York,5.3,2015
North Carolina,5.7,2015
North Dakota,2.8,2015
Ohio,4.9,2015
Oklahoma,4.4,2015
Oregon,5.6,2015
Pennsylvania,5.3,2015
Rhode Island,6.0,2015
South Carolina,6.0,2015
South Dakota,3.1,2015
Tennessee,5.6,2015
Texas,4.4,2015
Utah,3.6,2015
Vermont,3.6,2015
Virginia,4.5,2015
Washington,5.6,2015
West Virginia,6.7,2015
Wisconsin,4.5,2015
Wyoming,4.3,2015
